"language"," filename"," LOC"
"java","sentenceprocessing/AbstractSentencesProcessor.java"," 13"
"java","fileparsing/PlaintextFileParser.java"," 22"
"java","sorting/AlphabeticSorter.java"," 31"
"java","KWICDriver.java"," 76"
"java","line/Line.java"," 15"
"java","io/OutputStrategy.java"," 4"
"java","sentenceprocessing/KeywordSearch.java"," 32"
"java","Main.java"," 21"
"java","textparsing/SentenceTextParser.java"," 39"
"java","io/InputStrategy.java"," 6"
"java","fileparsing/AbstractFileParser.java"," 17"
"java","io/ConsoleOutput.java"," 7"
"java","textparsing/AbstractTextParser.java"," 7"
"java","io/ConsoleInput.java"," 18"
"java","sentenceprocessing/IndexGeneration.java"," 35"
"java","io/Commands.java"," 8"
"java","sorting/SortingStrategy.java"," 7"
"java","sentenceprocessing/KWICProcessor.java"," 40"
"java","textparsing/NewlineTextParser.java"," 20"
